"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:30:08 GMT 2024","Thu Jun 06 17:30:08 GMT 2024","690","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 17:29:58 GMT 2024","Thu Jun 06 17:29:58 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 17:29:58 GMT 2024","Thu Jun 06 17:29:59 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 17:29:59 GMT 2024","Thu Jun 06 17:29:59 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 17:30:09 GMT 2024","Thu Jun 06 17:30:10 GMT 2024","687","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 17:29:58 GMT 2024","Thu Jun 06 17:29:58 GMT 2024","776","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 17:30:03 GMT 2024","Thu Jun 06 17:30:06 GMT 2024","2497","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 17:30:01 GMT 2024","Thu Jun 06 17:30:02 GMT 2024","677","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 17:30:07 GMT 2024","Thu Jun 06 17:30:07 GMT 2024","43","tests","test_home","","","","test_successful_login",""
