"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 13:52:07 GMT 2024","Fri Jun 07 13:52:08 GMT 2024","741","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 13:52:24 GMT 2024","Fri Jun 07 13:52:24 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 13:52:08 GMT 2024","Fri Jun 07 13:52:08 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 13:52:20 GMT 2024","Fri Jun 07 13:52:23 GMT 2024","2744","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 13:52:08 GMT 2024","Fri Jun 07 13:52:08 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 13:52:26 GMT 2024","Fri Jun 07 13:52:27 GMT 2024","691","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 13:52:25 GMT 2024","Fri Jun 07 13:52:25 GMT 2024","698","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 13:52:18 GMT 2024","Fri Jun 07 13:52:19 GMT 2024","880","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 13:52:08 GMT 2024","Fri Jun 07 13:52:09 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
