"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:16:41 GMT 2024","Thu Jun 06 17:16:41 GMT 2024","323","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 17:17:04 GMT 2024","Thu Jun 06 17:17:05 GMT 2024","688","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 17:17:02 GMT 2024","Thu Jun 06 17:17:02 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 17:16:59 GMT 2024","Thu Jun 06 17:17:00 GMT 2024","899","tests","test_edit","","","","test_autocomplete",""
"broken","Thu Jun 06 17:17:01 GMT 2024","Thu Jun 06 17:17:01 GMT 2024","0","tests","test_edit","","","","test_edit",""
"passed","Thu Jun 06 17:16:40 GMT 2024","Thu Jun 06 17:16:41 GMT 2024","767","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 17:17:03 GMT 2024","Thu Jun 06 17:17:04 GMT 2024","969","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 17:16:41 GMT 2024","Thu Jun 06 17:16:41 GMT 2024","319","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 17:16:41 GMT 2024","Thu Jun 06 17:16:41 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
