"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:56:49 GMT 2024","Thu Jun 06 17:56:49 GMT 2024","313","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Thu Jun 06 17:56:48 GMT 2024","Thu Jun 06 17:56:49 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Thu Jun 06 17:57:08 GMT 2024","Thu Jun 06 17:57:08 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Thu Jun 06 17:56:48 GMT 2024","Thu Jun 06 17:56:48 GMT 2024","754","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Thu Jun 06 17:56:59 GMT 2024","Thu Jun 06 17:57:00 GMT 2024","944","tests","test_edit","","","","test_autocomplete",""
"passed","Thu Jun 06 17:56:48 GMT 2024","Thu Jun 06 17:56:48 GMT 2024","15","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Thu Jun 06 17:57:06 GMT 2024","Thu Jun 06 17:57:06 GMT 2024","40","tests","test_home","","","","test_successful_login",""
"passed","Thu Jun 06 17:57:06 GMT 2024","Thu Jun 06 17:57:07 GMT 2024","682","tests","test_login","","","","test_successful_login",""
"passed","Thu Jun 06 17:57:01 GMT 2024","Thu Jun 06 17:57:04 GMT 2024","2834","tests","test_edit","","","","test_edit",""
