"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 13:46:10 GMT 2024","Fri Jun 07 13:46:11 GMT 2024","679","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 13:46:08 GMT 2024","Fri Jun 07 13:46:08 GMT 2024","308","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 07 13:46:27 GMT 2024","Fri Jun 07 13:46:27 GMT 2024","678","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 13:46:08 GMT 2024","Fri Jun 07 13:46:08 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"broken","Fri Jun 07 13:46:12 GMT 2024","Fri Jun 07 13:46:23 GMT 2024","10993","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 13:46:25 GMT 2024","Fri Jun 07 13:46:25 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 13:46:25 GMT 2024","Fri Jun 07 13:46:26 GMT 2024","686","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 13:46:07 GMT 2024","Fri Jun 07 13:46:08 GMT 2024","748","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 13:46:08 GMT 2024","Fri Jun 07 13:46:08 GMT 2024","327","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
